Expression,work,university,school,nonmandatory,atwork
c_ivt,-0.0247,-0.0247,-0.0064,-0.02142,-0.02142
c_ovt,0,-0.0457,c_ivt * 2,-0.05432,-0.05432
c_cost_low,-0.0103,-0.0103,-0.004,-0.0103,-0.0103
c_cost_med,-0.0023,-0.0023,-0.0009,-0.0023,-0.0023
c_cost_high,-0.0014,-0.0014,-0.0005,-0.0014,-0.0014
c_firstWaitShort,c_ivt * 2,c_ivt * 2,c_ivt * 2,c_ivt * 2,c_ivt * 2
c_firstWaitLong,c_ivt * 2,c_ivt * 2,c_ivt * 2,c_ivt * 2,c_ivt * 2
c_xferWait,c_ivt * 1.5,c_ivt * 1.5,c_ivt * 1.5,c_ivt * 1.5,c_ivt * 1.5
c_walkTimeShort,c_ivt * 2,-0.0457,-0.0127,-0.05871,-0.05871
c_walkTimeLong,c_ivt * 2.5,-0.0457,-0.0127,-0.04058,-0.04058
c_bikeTime,c_ivt * 4.5,-0.0457,c_ivt * 2,-0.04058,-0.04058
c_pnrTime,c_ivt * 2,c_ivt * 2,c_ivt * 2,c_ivt * 2,0
c_knrTime,c_ivt * 2.5,c_ivt * 2.5,c_ivt * 2.5,c_ivt * 2.5,0
CBD_sub,-10,-10,-10,-15,-15
cost_parking,7.1,5.1,7.3,1.9,0.9
costPerMile,17.29,17.29,17.29,17.29,17.29
firstWaitThresh,7.5,7.5,7.5,7.5,7.5
walkThresh,0.6667,0.6667,0.6667,0.6667,0.6667
walkSpeed,3,3,3,3,3
bikeSpeed,12,12,12,12,12
schoolBusSpeed,0,0,20,0,0
schoolBusOvt,0,0,10,0,0
expr,0.95,0.95,0.95,0.95,0.95
hrt,0.75,0.75,0.75,0.75,0.75
lrt,0.8,0.8,0.8,0.8,0.8
brt,0.85,0.85,0.85,0.85,0.85
crl,0.75,0.75,0.75,0.75,0.75
#Variable Coefficients,,,,,
c_da_age1622,-0.4227,0,0,0,0
c_da_hmmake,-0.6893,0,0,0,0
c_da_age1617,0,-2.241,-2.241,-2.241,-2.241
c_da_unversity,0,2.505,0,0,0
c_da_worker,0,1.92,1.92,1.92,0
c_da_age4059,0,0,0,0.3017,0.3017
c_da_age6079,0,0,0,0.4468,0.4468
c_da_nonWrkAdlt,0,0,0,-0.1479,0
c_da_odDistLess5Mile,0,0,0,0.3875,0.3875
c_da_tourPur_Shp,0,0,0,0,0.1724
c_hov_hhsize1,-0.7019,-2.993,-2.993,-0.7493,-0.7493
c_hov_ChU16,0,0,0,1.275,1.275
c_hov_mlChU16,0.2215,0,0,0,0
c_hov_fmlChU16,0.9644,0,0,0,0
c_hov_mlCh16P,0.1003,0,0,0,0
c_hov_fmlCh16P,0.3513,0,0,0,0
c_hov_mlAdChU16,0,0,0,0.7186,0.7186
c_hov_fmlAdChU16,0,0,0,1.144,1.144
c_hov_OthfmlAd,0,0,0,0.4521,0.4521
c_hov_tourPur_Esc,0,0,0,2.068,0
c_hov_tourPur_Eat,0,0,0,0.9919,0.9919
c_nm_U40,0.7449,0,0,0.5114,0.5114
c_nm_male,0.9845,1.094,1.094,0,0
c_nm_UnvStudent,0,4.087,0,0,0
c_nm_incLess50K,0,2.524,2.524,0,0
c_nm_60plus,0,0,0,-1.044,-1.044
c_nm_incVeryhigh,0,0,0,-0.945,-0.945
c_nm_noIncome,0,0,0,0.6629,0.6629
c_nm_torPurEatSocODis,0,0,0,0.8532,0.8532
c_nm_intrazonal,0,0,0,1.004,1.004
c_wlkTran_incLess50K,0,1.507,1.507,0,0
c_wlkTran_UnvStudent,0,2.297,0,0,0
c_wlkTran_nonWrkAdlt,0,0,0,1.322,1.322
c_wlkTran_age60,0,0,0,-1.087,-1.087
c_drvTran_nonWrkAdlt,0,0,0,0.7251,0
c_schBus_PreDriver,0,0,2.962,0,0
c_schBus_Driver,0,0,0.1473,0,0
c_schBus_Rural,0,0,1.34,0,0
c_schBus_odDistgre10Mile,0,0,-2.372,0,0
c_schBus_departBef8am,0,0,0.596,0,0
c_schBus_returnBef5pm,0,0,1.094,0,0
c_hov_tourPur_Esc,0,0,0,2.068,0
c_hov_tourPur_Eat,0,0,0,0.9919,0.9919
